duty_cycle,voltage_v,current_mA
0,5.31,0.02
5,5.26,-0.84
10,5.13,0.43
15,4.85,0.49
20,4.67,0.78
25,4.53,0.27
30,4.68,0.44
35,4.85,0.36
40,4.63,1.26
45,4.63,2.76
50,4.43,2.09
55,4.3,3.28
60,4.24,3.18
65,4.03,3.7
70,4.31,5.43
75,3.76,5.69
80,3.34,6.88
85,3.32,4.19
90,2.94,4.11
95,3.27,5.36
100,3.4,3.67
105,3.25,6.24
110,2.79,7.07
115,2.15,6.69
120,2.6,6.47
125,2.91,4.61
130,2.96,8.33
135,2.42,8.08
140,1.9,8.66
145,2.28,7.25
150,2.03,7.96
155,2.65,8.45
160,2.05,10.12
165,1.72,12.04
170,1.53,10.77
175,1.66,10.72
180,1.94,10.18
185,1.06,11.11
190,1.2,13.46
195,0.86,10.87
200,1.01,10.88
205,0.89,12.2
210,0.82,15.19
215,0.79,13.35
220,0.63,12.36
225,0.71,13.3
230,0.58,14.12
235,0.51,15.22
240,0.24,14.01
245,0.19,14.57
250,0.14,14.75
255,0.01,16.66
