duty_cycle,voltage_v,current_mA
0,5.332,0.0
1,5.332,0.0
2,5.332,0.0
3,5.332,0.0
4,5.332,0.0
5,5.332,0.0
6,5.332,0.0
7,5.332,0.0
8,5.332,0.0
9,5.328,0.0
10,5.328,0.0
11,5.328,0.0
12,5.328,0.0
13,5.328,0.0
14,5.328,0.0
15,5.328,0.0
16,5.328,0.0
17,5.328,0.0
18,5.328,0.0
19,5.328,0.0
20,5.328,0.0
21,5.328,0.0
22,5.328,0.0
23,5.328,0.0
24,5.328,0.0
25,5.328,0.0
26,5.324,0.0
27,5.328,0.0
28,5.324,0.0
29,5.324,0.0
30,5.324,0.0
31,5.324,0.0
32,5.324,0.0
33,5.324,0.0
34,5.324,0.0
35,5.324,0.0
36,5.324,0.0
37,5.324,0.0
38,5.324,0.0
39,5.324,0.0
40,5.324,0.0
41,5.324,0.0
42,5.324,0.0
43,5.324,0.0
44,5.324,0.0
45,5.324,0.0
46,5.324,0.0
47,5.324,0.0
48,5.324,0.0
49,5.324,0.0
50,5.32,0.0
51,5.32,0.0
52,5.32,0.0
53,5.32,0.0
54,5.32,0.0
55,5.32,0.0
56,5.32,0.0
57,5.32,0.0
58,5.32,0.0
59,5.32,0.0
60,5.32,0.0
61,5.32,0.0
62,5.32,0.0
63,5.32,0.0
64,5.32,0.0
65,5.32,0.0
66,5.32,0.0
67,5.32,0.0
68,5.32,0.0
69,5.316,0.0
70,5.32,0.0
71,5.316,0.0
72,5.316,0.0
73,5.316,0.0
74,5.316,0.0
75,5.316,0.0
76,5.316,0.0
77,5.316,0.0
78,5.316,0.0
79,5.316,0.0
80,5.316,0.0
81,5.316,0.0
82,5.316,0.0
83,5.316,0.0
84,5.316,0.0
85,5.316,0.0
86,5.316,0.0
87,5.316,0.0
88,5.316,0.0
89,5.316,0.0
90,5.316,0.0
91,5.316,0.0
92,5.312,0.0
93,5.312,0.0
94,5.312,0.1
95,5.312,0.1
96,5.312,0.1
97,5.308,0.1
98,5.308,0.2
99,5.308,0.2
100,5.304,0.3
101,5.304,0.4
102,5.3,0.5
103,5.296,0.6
104,5.292,0.7
105,5.288,0.9
106,5.284,1.1
107,5.272,1.4
108,5.264,1.8
109,5.248,2.2
110,5.232,2.7
111,5.212,3.4
112,5.18,4.3
113,5.144,5.3
114,5.092,6.6
115,5.02,8.1
116,4.904,9.8
117,4.692,12.0
118,4.084,14.5
119,0.356,15.5
120,0.172,15.5
121,0.088,15.5
122,0.056,15.5
123,0.04,15.5
124,0.036,15.5
125,0.028,15.5
126,0.024,15.5
127,0.024,15.5
128,0.02,15.5
129,0.02,15.5
130,0.016,15.5
131,0.016,15.5
132,0.012,15.5
133,0.012,15.5
134,0.012,15.4
135,0.012,15.5
136,0.012,15.4
137,0.012,15.4
138,0.012,15.5
139,0.012,15.5
140,0.012,15.5
141,0.012,15.5
142,0.008,15.5
143,0.008,15.5
144,0.008,15.4
145,0.008,15.4
146,0.008,15.4
147,0.008,15.4
148,0.008,15.4
149,0.008,15.4
150,0.008,15.4
151,0.008,15.4
152,0.008,15.5
153,0.008,15.5
154,0.008,15.5
155,0.008,15.4
156,0.008,15.5
157,0.008,15.5
158,0.008,15.4
159,0.008,15.4
160,0.008,15.5
161,0.008,15.5
162,0.008,15.5
163,0.008,15.4
164,0.008,15.4
165,0.008,15.4
166,0.008,15.4
167,0.008,15.5
168,0.008,15.4
169,0.008,15.4
170,0.008,15.4
171,0.008,15.4
172,0.008,15.4
173,0.008,15.4
174,0.008,15.4
175,0.008,15.4
176,0.008,15.4
177,0.008,15.4
178,0.008,15.4
179,0.008,15.4
180,0.008,15.4
181,0.008,15.4
182,0.008,15.4
183,0.008,15.4
184,0.008,15.4
185,0.008,15.4
186,0.008,15.4
187,0.008,15.5
188,0.008,15.4
189,0.008,15.4
190,0.008,15.4
191,0.008,15.4
192,0.008,15.4
193,0.008,15.4
194,0.008,15.4
195,0.008,15.4
196,0.008,15.4
197,0.008,15.4
198,0.008,15.4
199,0.008,15.4
200,0.008,15.4
201,0.008,15.4
202,0.008,15.4
203,0.008,15.4
204,0.008,15.4
205,0.008,15.4
206,0.008,15.4
207,0.008,15.4
208,0.008,15.4
209,0.008,15.4
210,0.008,15.4
211,0.008,15.4
212,0.008,15.4
213,0.008,15.4
214,0.008,15.4
215,0.008,15.4
216,0.008,15.4
217,0.008,15.4
218,0.008,15.4
219,0.008,15.4
220,0.008,15.4
221,0.008,15.4
222,0.008,15.4
223,0.008,15.4
224,0.008,15.4
225,0.008,15.4
226,0.008,15.4
227,0.008,15.4
228,0.008,15.4
229,0.008,15.4
230,0.008,15.4
231,0.008,15.4
232,0.008,15.4
233,0.008,15.4
234,0.008,15.4
235,0.008,15.4
236,0.008,15.4
237,0.008,15.4
238,0.008,15.4
239,0.008,15.4
240,0.008,15.4
241,0.008,15.4
242,0.008,15.4
243,0.008,15.4
244,0.008,15.4
245,0.008,15.4
246,0.008,15.4
247,0.008,15.4
248,0.008,15.5
249,0.008,15.4
250,0.008,15.4
251,0.008,15.5
252,0.008,15.5
253,0.008,15.4
254,0.008,15.4
255,0.008,15.4
