timestamp,thermistor_v,photoresistor_v
0.0,2.05,1.36
0.1,2.05,1.37
0.6,2.05,1.38
1.1,2.05,1.4
1.6,2.05,1.42
2.1,2.05,1.42
2.6,2.05,1.39
3.1,2.05,1.37
3.6,2.05,1.37
4.1,2.05,1.95
4.6,2.05,2.37
5.1,2.05,2.01
5.6,2.05,1.36
6.1,2.05,1.39
6.6,2.05,1.39
7.1,2.05,1.4
7.6,2.05,1.4
8.1,2.05,3.8
8.6,2.05,3.89
9.1,2.05,3.91
9.6,2.05,3.91
10.1,2.05,3.91
10.6,2.05,3.91
11.1,2.05,3.92
11.6,2.05,3.92
12.1,2.05,3.92
12.6,2.05,3.92
13.1,2.05,3.91
13.7,2.05,3.9
14.2,2.05,3.9
14.6,2.05,3.89
15.1,2.05,3.9
15.7,2.05,3.9
16.2,2.05,3.89
16.7,2.05,3.89
17.2,2.05,3.89
17.7,2.05,3.9
18.2,2.05,3.9
18.7,2.05,3.9
19.2,2.05,3.9
19.7,2.05,3.91
20.2,2.05,3.91
20.7,2.05,3.91
21.2,2.05,3.92
21.7,2.05,3.93
22.2,2.05,3.97
22.7,2.05,3.97
23.2,2.05,3.91
23.7,2.05,3.91
24.2,2.05,3.92
24.7,2.05,3.92
25.2,2.05,3.92
25.7,2.05,3.92
26.2,2.05,3.92
26.7,2.05,3.92
27.2,2.05,3.92
27.7,2.05,3.92
28.2,2.05,3.92
28.7,2.05,3.92
29.2,2.05,3.92
29.7,2.05,3.92
30.2,2.05,3.93
30.7,2.05,3.92
31.2,2.05,3.92
31.7,2.05,3.92
32.2,2.05,3.93
32.7,2.05,3.94
33.2,2.05,3.94
33.7,2.05,3.94
34.2,2.05,3.93
34.7,2.05,3.93
35.2,2.05,3.93
35.7,2.05,3.93
36.2,2.04,3.93
36.7,2.04,3.93
37.2,2.04,3.93
37.7,2.04,3.93
38.2,2.04,3.93
38.7,2.04,3.93
39.2,2.04,3.93
39.7,2.04,3.93
40.2,2.04,3.93
40.7,2.04,3.93
41.2,2.04,3.93
41.7,2.04,3.93
42.2,2.05,3.93
42.7,2.05,3.93
43.2,2.05,3.93
43.7,2.05,3.93
44.2,2.05,3.93
44.7,2.05,3.93
45.2,2.05,3.94
45.7,2.05,3.93
46.2,2.05,3.93
46.7,2.05,3.93
47.2,2.05,3.93
47.7,2.05,3.93
48.2,2.05,3.93
48.7,2.05,3.93
49.2,2.05,3.94
49.7,2.05,3.93
50.2,2.05,3.94
50.7,2.05,3.94
51.2,2.05,3.93
51.7,2.05,3.93
52.2,2.05,3.93
52.7,2.05,3.93
53.2,2.05,3.93
53.7,2.05,3.93
54.2,2.05,3.93
54.7,2.05,3.93
55.2,2.05,3.92
55.7,2.05,3.92
56.2,2.05,3.92
56.7,2.05,3.93
57.2,2.05,3.93
57.7,2.05,3.93
58.2,2.05,3.93
58.7,2.05,3.93
59.2,2.05,3.93
59.7,2.05,3.93
60.2,2.05,3.93
60.7,2.05,3.93
61.2,2.05,3.93
61.7,2.05,3.99
62.2,2.05,4.04
62.7,2.05,4.04
63.2,2.05,4.04
63.7,2.04,4.04
64.2,2.04,4.04
64.7,2.03,4.04
65.2,2.03,4.04
65.7,2.03,3.97
66.2,2.03,3.95
66.7,2.03,3.95
67.2,2.04,3.95
67.7,2.04,3.96
68.2,2.04,4.01
68.7,2.04,4.02
69.2,2.04,4.09
69.7,2.04,4.11
70.2,2.03,4.13
70.7,2.03,4.13
71.2,2.02,4.13
71.7,2.02,4.1
72.2,2.02,4.04
72.7,2.01,4.02
73.2,2.02,4.01
73.7,2.02,4.01
74.2,2.02,4.01
74.7,2.02,3.99
75.2,2.02,3.93
75.7,2.02,3.92
76.2,2.02,3.99
76.7,2.03,3.98
77.2,2.03,3.97
77.7,2.03,3.96
78.2,2.03,3.92
78.7,2.03,4.15
79.2,2.03,4.35
79.7,2.03,4.41
80.2,2.03,4.43
80.7,2.03,4.45
81.2,2.03,4.45
81.7,2.02,4.45
82.2,2.02,4.45
82.7,2.02,4.45
83.2,2.02,4.41
83.7,2.02,4.08
84.2,2.02,4.02
84.7,2.02,4.02
85.2,1.97,4.05
85.8,1.9,4.06
86.3,1.87,4.06
86.8,1.85,4.06
87.3,1.83,4.06
87.8,1.83,4.06
88.3,1.83,4.01
88.8,1.84,3.93
89.3,1.87,3.93
89.8,1.88,3.95
90.3,1.89,3.95
90.8,1.9,3.95
91.3,1.92,3.94
91.8,1.93,3.91
92.3,1.94,3.91
92.8,1.94,3.94
93.3,1.95,3.95
93.8,1.96,3.94
94.3,1.97,3.95
94.8,1.98,3.94
95.3,1.98,3.93
95.8,1.99,3.92
96.3,1.99,3.9
96.8,2.0,3.93
97.3,2.0,4.04
97.8,2.01,4.08
98.3,2.01,4.09
98.8,2.01,4.07
99.3,2.01,4.04
99.8,2.02,4.02
100.3,2.02,4.02
100.8,2.02,4.01
101.3,2.03,4.02
101.8,2.03,4.06
102.3,2.03,4.07
102.8,2.03,3.93
103.3,2.03,3.97
103.8,2.03,3.98
104.3,2.04,3.98
104.8,2.04,3.99
105.3,2.04,3.99
105.8,2.04,3.99
106.3,2.04,3.99
106.8,2.04,3.99
107.3,2.04,3.99
107.8,2.04,3.99
108.3,2.04,3.96
108.8,2.04,3.9
109.3,2.05,3.89
109.8,2.05,3.89
110.3,2.05,3.9
110.8,2.05,3.9
111.3,2.05,3.91
111.8,2.05,3.91
112.3,2.05,3.91
112.8,2.05,3.9
113.3,2.06,3.9
113.8,2.06,3.9
114.3,2.06,3.9
114.8,2.06,3.9
115.3,2.06,3.91
115.8,2.06,3.9
116.3,2.06,3.9
116.8,2.06,3.9
117.3,2.06,3.91
117.8,2.06,3.93
118.3,2.06,3.95
118.8,2.06,3.95
119.3,2.06,3.95
119.8,2.06,3.96
120.3,2.06,3.96
120.8,2.06,3.95
121.3,2.06,3.96
121.8,2.06,3.95
122.3,2.06,3.95
122.8,2.06,3.96
123.3,2.07,3.95
123.8,2.07,3.95
124.3,2.07,3.95
124.8,2.07,3.95
125.3,2.07,3.95
125.8,2.07,3.94
126.3,2.07,3.95
126.8,2.07,3.95
127.3,2.07,3.95
127.8,2.07,3.95
128.3,2.07,3.95
128.8,2.07,3.94
129.3,2.07,3.93
129.8,2.07,3.93
130.3,2.07,3.99
130.8,2.08,3.99
131.3,2.08,3.96
131.8,2.08,3.96
132.3,2.08,3.95
132.8,2.08,3.95
133.3,2.08,3.95
133.8,2.08,3.95
134.3,2.08,3.95
134.8,2.08,3.95
135.3,2.08,3.95
135.8,2.08,3.95
136.3,2.08,3.93
136.8,2.08,3.93
137.3,2.08,3.93
137.8,2.07,3.93
138.3,2.08,3.93
138.8,2.08,3.93
139.3,2.08,3.93
139.8,2.08,3.92
140.3,2.07,3.9
