duty_cycle,voltage_v,current_mA
0,5.272,0.0
1,5.276,0.0
2,5.276,0.0
3,5.272,0.0
4,5.272,0.0
5,5.272,0.0
6,5.272,0.0
7,5.272,0.0
8,5.272,0.0
9,5.272,0.0
10,5.272,0.0
11,5.272,0.0
12,5.272,0.0
13,5.272,0.0
14,5.272,0.0
15,5.272,0.0
16,5.272,0.0
17,5.272,0.0
18,5.272,0.0
19,5.272,0.0
20,5.272,0.0
21,5.272,0.0
22,5.272,0.0
23,5.272,0.0
24,5.272,0.0
25,5.272,0.0
26,5.272,0.0
27,5.272,0.0
28,5.276,0.0
29,5.276,0.0
30,5.272,0.0
31,5.272,0.0
32,5.272,0.0
33,5.272,0.0
34,5.272,0.0
35,5.272,0.0
36,5.272,0.0
37,5.272,0.0
38,5.272,0.0
39,5.272,0.0
40,5.272,0.0
41,5.272,0.0
42,5.272,0.0
43,5.272,0.0
44,5.272,0.0
45,5.272,0.0
46,5.272,0.0
47,5.272,0.0
48,5.272,0.0
49,5.272,0.0
50,5.272,0.0
51,5.272,0.0
52,5.272,0.0
53,5.272,0.0
54,5.272,0.0
55,5.272,0.0
56,5.272,0.0
57,5.272,0.0
58,5.272,0.0
59,5.272,0.0
60,5.272,0.0
61,5.272,0.0
62,5.272,0.0
63,5.272,0.0
64,5.272,0.0
65,5.272,0.0
66,5.272,0.0
67,5.272,0.0
68,5.272,0.0
69,5.272,0.0
70,5.272,0.0
71,5.272,0.0
72,5.272,0.0
73,5.272,0.0
74,5.272,0.0
75,5.272,0.0
76,5.272,0.0
77,5.272,0.0
78,5.272,0.0
79,5.272,0.0
80,5.272,0.0
81,5.272,0.0
82,5.272,0.0
83,5.272,0.0
84,5.272,0.0
85,5.272,0.0
86,5.272,0.0
87,5.272,0.0
88,5.272,0.0
89,5.272,0.0
90,5.272,0.0
91,5.272,0.0
92,5.272,0.0
93,5.272,0.1
94,5.272,0.1
95,5.272,0.1
96,5.272,0.1
97,5.268,0.2
98,5.268,0.2
99,5.268,0.3
100,5.264,0.3
101,5.26,0.4
102,5.26,0.6
103,5.256,0.7
104,5.252,0.9
105,5.244,1.1
106,5.236,1.4
107,5.224,1.7
108,5.212,2.2
109,5.196,2.7
110,5.176,3.4
111,5.148,4.2
112,5.108,5.2
113,5.06,6.5
114,4.988,8.0
115,4.876,9.8
116,4.648,12.0
117,3.844,13.9
118,1.356,24.3
119,0.492,16.0
120,0.136,15.9
121,0.056,15.9
122,0.04,15.9
123,0.032,15.9
124,0.028,15.9
125,0.024,15.9
126,0.02,15.8
127,0.02,15.8
128,0.016,15.9
129,0.016,15.9
130,0.016,15.9
131,0.012,15.9
132,0.012,15.9
133,0.012,15.9
134,0.012,15.9
135,0.012,15.9
136,0.012,15.8
137,0.008,15.9
138,0.008,15.9
139,0.008,15.9
140,0.008,15.9
141,0.008,15.9
142,0.008,15.9
143,0.008,15.9
144,0.008,15.9
145,0.008,15.9
146,0.008,15.9
147,0.008,15.9
148,0.008,15.9
149,0.008,15.9
150,0.008,15.9
151,0.008,15.9
152,0.008,15.9
153,0.008,15.9
154,0.008,15.9
155,0.008,15.9
156,0.008,15.9
157,0.008,15.9
158,0.008,15.9
159,0.008,15.9
160,0.008,15.9
161,0.008,15.9
162,0.008,15.9
163,0.008,15.9
164,0.008,15.9
165,0.008,15.9
166,0.008,15.9
167,0.008,15.9
168,0.008,15.9
169,0.008,15.9
170,0.008,15.9
171,0.008,15.9
172,0.008,15.9
173,0.008,15.9
174,0.008,15.9
175,0.008,15.9
176,0.008,15.9
177,0.008,15.9
178,0.008,15.9
179,0.008,15.9
180,0.008,15.9
181,0.008,15.9
182,0.008,15.9
183,0.008,15.9
184,0.008,15.9
185,0.004,15.9
186,0.008,15.9
187,0.008,15.9
188,0.008,15.9
189,0.004,15.9
190,0.008,15.9
191,0.004,15.9
192,0.004,15.9
193,0.008,15.9
194,0.008,15.9
195,0.008,15.9
196,0.008,15.9
197,0.008,15.9
198,0.008,15.9
199,0.004,15.9
200,0.008,15.9
201,0.008,15.9
202,0.008,15.9
203,0.008,15.9
204,0.008,15.9
205,0.004,15.9
206,0.008,15.9
207,0.008,15.9
208,0.004,15.9
209,0.004,15.9
210,0.004,15.9
211,0.008,15.9
212,0.008,15.9
213,0.008,15.9
214,0.008,16.0
215,0.008,15.9
216,0.008,15.9
217,0.004,15.9
218,0.004,15.9
219,0.008,15.9
220,0.008,15.9
221,0.004,15.9
222,0.008,16.0
223,0.008,15.9
224,0.004,15.9
225,0.008,15.9
226,0.004,15.9
227,0.004,15.9
228,0.008,15.9
229,0.008,16.0
230,0.008,15.9
231,0.004,16.0
232,0.008,16.0
233,0.004,15.9
234,0.004,15.9
235,0.004,15.9
236,0.004,15.9
237,0.008,16.0
238,0.008,16.0
239,0.004,15.9
240,0.008,16.0
241,0.004,16.0
242,0.004,15.9
243,0.004,15.9
244,0.004,15.9
245,0.004,15.9
246,0.004,15.9
247,0.008,15.9
248,0.004,16.0
249,0.004,15.9
250,0.004,15.9
251,0.008,15.9
252,0.008,15.9
253,0.004,15.9
254,0.004,15.9
255,0.004,15.9
