duty_cycle,voltage_v,current_mA
0,5.292,0.0
1,5.292,0.0
2,5.288,0.0
3,5.288,0.0
4,5.292,0.0
5,5.292,0.0
6,5.292,0.0
7,5.292,0.0
8,5.292,0.0
9,5.292,0.0
10,5.292,0.0
11,5.288,0.0
12,5.288,0.0
13,5.288,0.0
14,5.292,0.0
15,5.292,0.0
16,5.292,0.0
17,5.288,0.0
18,5.288,0.0
19,5.288,0.0
20,5.288,0.0
21,5.292,0.0
22,5.288,0.0
23,5.288,0.0
24,5.288,0.0
25,5.288,0.0
26,5.288,0.0
27,5.288,0.0
28,5.288,0.0
29,5.288,0.0
30,5.288,0.0
31,5.288,0.0
32,5.288,0.0
33,5.288,0.0
34,5.288,0.0
35,5.288,0.0
36,5.288,0.0
37,5.288,0.0
38,5.288,0.0
39,5.288,0.0
40,5.288,0.0
41,5.288,0.0
42,5.288,0.0
43,5.288,0.0
44,5.288,0.0
45,5.288,0.0
46,5.288,0.0
47,5.288,0.0
48,5.288,0.0
49,5.288,0.0
50,5.288,0.0
51,5.288,0.0
52,5.288,0.0
53,5.288,0.0
54,5.288,0.0
55,5.288,0.0
56,5.288,0.0
57,5.288,0.0
58,5.288,0.0
59,5.288,0.0
60,5.288,0.0
61,5.288,0.0
62,5.288,0.0
63,5.288,0.0
64,5.288,0.0
65,5.288,0.0
66,5.288,0.0
67,5.288,0.0
68,5.288,0.0
69,5.288,0.0
70,5.288,0.0
71,5.288,0.0
72,5.288,0.0
73,5.288,0.0
74,5.288,0.0
75,5.288,0.0
76,5.288,0.0
77,5.288,0.0
78,5.288,0.0
79,5.288,0.0
80,5.288,0.0
81,5.288,0.0
82,5.288,0.0
83,5.288,0.0
84,5.284,0.0
85,5.284,0.0
86,5.288,0.0
87,5.284,0.0
88,5.284,0.0
89,5.284,0.0
90,5.284,0.0
91,5.284,0.0
92,5.284,0.0
93,5.284,0.0
94,5.284,0.1
95,5.284,0.1
96,5.28,0.1
97,5.28,0.1
98,5.28,0.2
99,5.28,0.3
100,5.276,0.3
101,5.272,0.4
102,5.272,0.5
103,5.268,0.6
104,5.264,0.8
105,5.256,1.0
106,5.248,1.2
107,5.24,1.5
108,5.228,2.0
109,5.212,2.4
110,5.192,3.0
111,5.164,3.8
112,5.128,4.7
113,5.076,5.9
114,5.004,7.3
115,4.896,8.9
116,4.672,10.9
117,3.892,13.0
118,1.224,26.9
119,0.444,14.5
120,0.132,14.5
121,0.056,14.5
122,0.04,14.5
123,0.032,14.5
124,0.028,14.5
125,0.024,14.5
126,0.02,14.5
127,0.016,14.5
128,0.016,14.5
129,0.016,14.5
130,0.012,14.5
131,0.012,14.5
132,0.012,14.5
133,0.012,14.5
134,0.012,14.5
135,0.012,14.5
136,0.008,14.5
137,0.008,14.5
138,0.008,14.5
139,0.008,14.5
140,0.008,14.5
141,0.008,14.5
142,0.008,14.5
143,0.008,14.5
144,0.008,14.5
145,0.008,14.5
146,0.008,14.5
147,0.008,14.5
148,0.008,14.5
149,0.008,14.5
150,0.008,14.5
151,0.008,14.5
152,0.008,14.5
153,0.008,14.5
154,0.008,14.5
155,0.008,14.5
156,0.008,14.5
157,0.008,14.5
158,0.008,14.5
159,0.008,14.6
160,0.008,14.5
161,0.008,14.5
162,0.004,14.5
163,0.008,14.6
164,0.008,14.6
165,0.008,14.5
166,0.004,14.5
167,0.004,14.5
168,0.008,14.5
169,0.004,14.5
170,0.004,14.5
171,0.008,14.5
172,0.008,14.5
173,0.004,14.5
174,0.004,14.5
175,0.004,14.5
176,0.004,14.5
177,0.004,14.5
178,0.008,14.5
179,0.004,14.5
180,0.004,14.5
181,0.004,14.5
182,0.004,14.5
183,0.004,14.6
184,0.004,14.5
185,0.004,14.5
186,0.004,14.5
187,0.004,14.5
188,0.004,14.5
189,0.004,14.5
190,0.004,14.5
191,0.004,14.5
192,0.004,14.5
193,0.004,14.5
194,0.004,14.5
195,0.008,14.5
196,0.004,14.5
197,0.004,14.5
198,0.004,14.5
199,0.004,14.5
200,0.004,14.5
201,0.004,14.5
202,0.004,14.5
203,0.004,14.5
204,0.004,14.5
205,0.004,14.5
206,0.004,14.5
207,0.004,14.5
208,0.004,14.5
209,0.004,14.5
210,0.004,14.5
211,0.004,14.5
212,0.004,14.5
213,0.004,14.5
214,0.004,14.5
215,0.004,14.5
216,0.004,14.5
217,0.004,14.5
218,0.004,14.5
219,0.004,14.5
220,0.004,14.5
221,0.004,14.6
222,0.004,14.6
223,0.004,14.6
224,0.004,14.6
225,0.004,14.6
226,0.004,14.5
227,0.004,14.5
228,0.004,14.6
229,0.004,14.6
230,0.004,14.6
231,0.004,14.6
232,0.004,14.6
233,0.004,14.6
234,0.004,14.6
235,0.004,14.6
236,0.004,14.6
237,0.004,14.6
238,0.004,14.6
239,0.004,14.6
240,0.004,14.6
241,0.004,14.6
242,0.004,14.6
243,0.004,14.6
244,0.004,14.6
245,0.004,14.6
246,0.004,14.6
247,0.004,14.6
248,0.004,14.6
249,0.004,14.6
250,0.004,14.6
251,0.004,14.6
252,0.004,14.6
253,0.004,14.6
254,0.004,14.6
255,0.004,14.6
